Id medidor,Nombre Equipo,Fecha,KiloWattHora Fase 1,KiloWattHora Fase 2,KiloWattHora Fase 3,KiloWattHora Totales,KiloVoltAmpereReactivoHora Fase 1,KiloVoltAmpereReactivoHora Fase 2,KiloVoltAmpereReactivoHora Fase 3,KiloVoltAmpereReactivoHora Totales,KiloVoltAmpereHora Fase 1 ,KiloVoltAmpereHora Fase 2 ,KiloVoltAmpereHora Fase 3 ,KiloVoltAmpereHora Totales,Voltaje Fase 1 ,Voltaje Fase 2 ,Voltaje Fase 3,Corriente Fase 1 ,Corriente Fase 2 ,Corriente Fase 3 ,KiloWatts Fase 1,KiloWatts Fase 2 ,KiloWatts Fase 3 ,KiloWatts Totales,KiloVoltAmpereReactivo Fase 1 ,KiloVoltAmpereReactivo Fase 2 ,KiloVoltAmpereReactivo Fase 3 ,KiloVoltAmperesReactivo Totales,KiloVoltAmpere Fase 1 , KiloVoltAmpere Fase 2 ,KiloVoltAmpere Fase 3 ,KiloVoltAmpere Totales,Factor de Potencia Fase 1 ,Factor de Potencia Fase 2 , Factor de Potencia Fase 3,Factor de Potencia Total,Frecuencia Fase,kW import sliding window demand,kvar impor sliding window demand,kVA sliding window demand
912207,PM130EH,Tue Apr 23 13:06:31 CDT 2013,1989.0,1425.0,1651.0,12717.0,1298.0,268.0,2079.0,11431.0,2367.0,1520.0,2789.0,17521.0,130.5,131.2,131.1,8.43,0.86,4.25,0.872,0.086,0.319,1.277,0.667,-0.069,0.456,1.055,1.098,0.11,0.557,1.656,0.794,-0.78,0.573,0.771,59.98,0.526,0.287,0.621
912207,PM130EH,Tue Apr 23 13:11:31 CDT 2013,1989.0,1425.0,1651.0,12717.0,1298.0,268.0,2079.0,11431.0,2367.0,1520.0,2789.0,17521.0,130.9,131.1,131.4,8.34,0.95,0.57,0.866,0.095,0.074,1.038,0.659,-0.076,0.005,0.586,1.088,0.122,0.075,1.192,0.796,-0.781,0.997,0.871,60.01,0.719,0.439,0.869
912207,PM130EH,Tue Apr 23 13:16:31 CDT 2013,1989.0,1425.0,1651.0,12717.0,1298.0,268.0,2079.0,11431.0,2367.0,1520.0,2789.0,17521.0,130.7,130.3,131.7,8.28,0.86,0.58,0.86,0.084,0.075,1.018,0.653,-0.069,0.003,0.587,1.08,0.108,0.075,1.176,0.796,-0.77,0.999,0.866,59.95,0.719,0.439,0.869
912207,PM130EH,Tue Apr 23 13:21:31 CDT 2013,1989.0,1425.0,1651.0,12717.0,1298.0,268.0,2079.0,11431.0,2367.0,1520.0,2789.0,17521.0,130.9,131.3,131.2,8.27,0.83,4.24,0.862,0.084,0.316,1.261,0.652,-0.066,0.457,1.041,1.08,0.107,0.555,1.636,0.798,-0.787,0.569,0.771,59.98,0.719,0.439,0.869
912207,PM130EH,Tue Apr 23 13:26:31 CDT 2013,1989.0,1425.0,1651.0,12717.0,1298.0,268.0,2079.0,11431.0,2367.0,1520.0,2789.0,17521.0,130.3,130.0,131.0,8.26,0.85,4.21,0.86,0.083,0.314,1.257,0.642,-0.068,0.453,1.027,1.073,0.108,0.551,1.623,0.801,-0.773,0.569,0.774,59.98,1.144,0.81,1.407
912207,PM130EH,Tue Apr 23 13:31:31 CDT 2013,1989.0,1425.0,1651.0,12718.0,1298.0,268.0,2079.0,11431.0,2367.0,1520.0,2789.0,17521.0,131.0,130.3,131.0,0.93,0.86,4.17,0.118,0.084,0.301,0.503,0.025,-0.069,0.456,0.412,0.121,0.109,0.547,0.65,0.978,-0.772,0.55,0.774,60.0,1.144,0.81,1.407
912207,PM130EH,Tue Apr 23 13:36:31 CDT 2013,1989.0,1425.0,1652.0,12718.0,1298.0,268.0,2079.0,11431.0,2367.0,1520.0,2789.0,17521.0,131.1,128.6,131.4,0.93,0.97,0.58,0.118,0.094,0.076,0.288,0.025,-0.078,0.005,0.0,0.121,0.122,0.076,0.292,0.978,-0.768,0.997,-0.986,59.97,1.144,0.81,1.407
912207,PM130EH,Tue Apr 23 13:41:31 CDT 2013,1989.0,1425.0,1652.0,12718.0,1298.0,268.0,2079.0,11431.0,2367.0,1520.0,2789.0,17521.0,129.4,129.2,128.8,20.66,19.23,22.55,2.54,2.394,2.664,7.598,0.836,0.658,1.153,2.647,2.674,2.483,2.903,8.046,0.95,0.964,0.918,0.944,59.95,0.743,0.501,0.922
912207,PM130EH,Tue Apr 23 13:46:31 CDT 2013,1989.0,1425.0,1652.0,12718.0,1298.0,268.0,2080.0,11432.0,2368.0,1520.0,2789.0,17522.0,130.3,128.0,130.0,12.31,11.14,14.95,1.488,1.38,1.726,4.586,0.597,0.36,0.893,1.842,1.603,1.426,1.943,4.942,0.928,0.968,0.888,0.928,59.95,0.743,0.501,0.922
912207,PM130EH,Tue Apr 23 13:51:31 CDT 2013,1989.0,1425.0,1652.0,12718.0,1298.0,268.0,2080.0,11432.0,2368.0,1520.0,2789.0,17522.0,130.6,129.1,130.0,12.26,11.25,12.05,1.495,1.401,1.5,4.393,0.569,0.384,0.446,1.399,1.6,1.452,1.565,4.611,0.935,0.964,0.959,0.953,59.99,0.743,0.501,0.922
912207,PM130EH,Tue Apr 23 13:56:31 CDT 2013,1990.0,1425.0,1652.0,12719.0,1298.0,268.0,2080.0,11432.0,2369.0,1520.0,2789.0,17523.0,129.8,129.7,129.4,12.21,11.51,12.1,1.488,1.444,1.497,4.429,0.545,0.376,0.459,1.38,1.585,1.492,1.566,4.639,0.939,0.968,0.956,0.955,60.04,3.64,1.343,3.889
912207,PM130EH,Tue Apr 23 14:01:31 CDT 2013,1990.0,1425.0,1652.0,12719.0,1298.0,268.0,2080.0,11432.0,2369.0,1520.0,2789.0,17523.0,129.6,129.1,129.6,12.24,11.22,14.87,1.484,1.4,1.701,4.583,0.56,0.373,0.903,1.835,1.586,1.448,1.926,4.937,0.936,0.966,0.883,0.928,59.99,3.64,1.343,3.889
912207,PM130EH,Tue Apr 23 14:06:31 CDT 2013,1990.0,1425.0,1652.0,12719.0,1298.0,268.0,2080.0,11432.0,2369.0,1520.0,2789.0,17523.0,129.8,129.8,129.7,11.36,10.64,11.25,1.377,1.33,1.388,4.415,0.525,0.37,0.449,1.384,1.474,1.381,1.459,4.627,0.935,0.963,0.951,0.954,59.97,3.64,1.343,3.889
912207,PM130EH,Tue Apr 23 14:11:31 CDT 2013,1990.0,1425.0,1653.0,12720.0,1298.0,268.0,2080.0,11432.0,2369.0,1520.0,2790.0,17524.0,129.7,129.1,129.9,12.28,11.47,12.22,1.491,1.437,1.52,4.449,0.557,0.36,0.457,1.374,1.592,1.481,1.587,4.656,0.937,0.97,0.958,0.955,59.98,4.618,1.67,4.914
912207,PM130EH,Tue Apr 23 14:16:31 CDT 2013,1990.0,1425.0,1653.0,12720.0,1298.0,268.0,2080.0,11432.0,2369.0,1520.0,2790.0,17524.0,128.8,130.0,129.4,19.52,11.52,14.81,2.22,1.448,1.689,5.353,1.179,0.381,0.906,2.466,2.513,1.497,1.917,5.894,0.883,0.967,0.881,0.908,59.98,4.618,1.67,4.914
912207,PM130EH,Tue Apr 23 14:21:31 CDT 2013,1990.0,1426.0,1653.0,12721.0,1298.0,268.0,2081.0,11433.0,2369.0,1521.0,2790.0,17525.0,127.2,130.6,130.1,19.11,11.83,12.21,2.156,1.502,1.499,5.156,1.118,0.358,0.525,2.0,2.429,1.544,1.588,5.53,0.888,0.973,0.944,0.932,59.96,4.618,1.67,4.914
912207,PM130EH,Tue Apr 23 14:26:31 CDT 2013,1990.0,1426.0,1653.0,12721.0,1298.0,268.0,2081.0,11433.0,2369.0,1521.0,2790.0,17525.0,127.4,130.2,130.6,19.04,11.78,12.11,2.152,1.49,1.495,5.14,1.119,0.362,0.514,1.989,2.425,1.533,1.581,5.511,0.887,0.972,0.946,0.933,59.94,5.114,2.063,5.52
