Id medidor,Nombre Equipo,Fecha,KiloWattHora Fase 1,KiloWattHora Fase 2,KiloWattHora Fase 3,KiloWattHora Totales,KiloVoltAmpereReactivoHora Fase 1,KiloVoltAmpereReactivoHora Fase 2,KiloVoltAmpereReactivoHora Fase 3,KiloVoltAmpereReactivoHora Totales,KiloVoltAmpereHora Fase 1 ,KiloVoltAmpereHora Fase 2 ,KiloVoltAmpereHora Fase 3 ,KiloVoltAmpereHora Totales,Voltaje Fase 1 ,Voltaje Fase 2 ,Voltaje Fase 3,Corriente Fase 1 ,Corriente Fase 2 ,Corriente Fase 3 ,KiloWatts Fase 1,KiloWatts Fase 2 ,KiloWatts Fase 3 ,KiloWatts Totales,KiloVoltAmpereReactivo Fase 1 ,KiloVoltAmpereReactivo Fase 2 ,KiloVoltAmpereReactivo Fase 3 ,KiloVoltAmperesReactivo Totales,KiloVoltAmpere Fase 1 , KiloVoltAmpere Fase 2 ,KiloVoltAmpere Fase 3 ,KiloVoltAmpere Totales,Factor de Potencia Fase 1 ,Factor de Potencia Fase 2 , Factor de Potencia Fase 3,Factor de Potencia Total,Frecuencia Fase,kW import sliding window demand,kvar impor sliding window demand,kVA sliding window demand
912201,PM130EH,Wed Jun 26 00:01:42 CDT 2013,10973.0,7342.0,9093.0,75556.0,1302.0,194.0,4475.0,24756.0,11316.0,8354.0,10256.0,80988.0,127.2,126.7,128.6,10.03,12.49,9.31,1.22,1.26,0.976,3.456,-0.167,-0.873,0.617,0.0,1.231,1.533,1.155,3.481,-0.991,-0.822,0.845,-0.993,60.01,3.58,0.113,3.588
912201,PM130EH,Wed Jun 26 00:06:42 CDT 2013,10973.0,7342.0,9093.0,75556.0,1302.0,194.0,4475.0,24756.0,11316.0,8355.0,10256.0,80989.0,127.8,127.4,128.0,9.82,12.3,9.28,1.198,1.255,0.947,3.4,-0.178,-0.874,0.629,0.0,1.211,1.529,1.137,3.426,-0.989,-0.821,0.833,-0.992,59.95,2.93,0.0,2.943
912201,PM130EH,Wed Jun 26 00:11:45 CDT 2013,10973.0,7342.0,9093.0,75556.0,1302.0,194.0,4475.0,24756.0,11316.0,8355.0,10256.0,80989.0,127.6,128.3,128.0,10.0,6.51,9.1,1.214,0.554,0.93,2.71,-0.177,-0.503,0.615,0.0,1.226,0.748,1.115,2.71,-0.99,-0.74,0.834,1.0,60.01,2.93,0.0,2.943
912201,PM130EH,Wed Jun 26 00:16:42 CDT 2013,10974.0,7342.0,9093.0,75557.0,1302.0,194.0,4475.0,24756.0,11316.0,8355.0,10256.0,80989.0,127.1,128.5,128.5,15.82,6.02,9.38,1.973,0.519,0.98,3.477,0.235,-0.469,0.627,0.397,1.987,0.7,1.164,3.499,0.993,-0.742,0.842,0.994,60.0,2.93,0.0,2.943
912201,PM130EH,Wed Jun 26 00:21:42 CDT 2013,10974.0,7342.0,9093.0,75557.0,1302.0,194.0,4475.0,24756.0,11316.0,8355.0,10257.0,80990.0,127.0,127.3,129.3,16.12,12.43,9.44,2.008,1.272,0.983,4.224,0.235,-0.85,0.645,0.021,2.022,1.53,1.175,4.224,0.993,-0.831,0.836,1.0,60.04,3.342,0.051,3.355
912201,PM130EH,Wed Jun 26 00:26:45 CDT 2013,10974.0,7342.0,9093.0,75557.0,1302.0,194.0,4476.0005,24756.0,11316.0,8355.0,10257.0,80990.0,126.7,128.2,128.4,15.76,5.78,9.32,1.964,0.422,0.984,3.37,0.216,-0.499,0.607,0.323,1.976,0.654,1.156,3.386,0.994,-0.646,0.851,0.995,60.02,3.342,0.051,3.355
912201,PM130EH,Wed Jun 26 00:31:45 CDT 2013,10975.0,7342.0,9093.0,75558.0,1302.0,194.0,4476.0005,24756.0,11316.0,8355.0,10257.0,80990.0,126.7,127.9,128.6,15.03,6.27,9.22,1.87,0.473,0.962,3.304,0.185,-0.476,0.613,0.323,1.879,0.671,1.14,3.319,0.995,-0.705,0.843,0.995,60.04,3.342,0.051,3.355
912201,PM130EH,Wed Jun 26 00:36:42 CDT 2013,10975.0,7342.0,9093.0,75558.0,1302.0,194.0,4476.0005,24756.0,11317.0,8355.0,10257.0,80990.0,127.9,127.4,128.3,8.81,11.87,9.21,1.059,1.175,0.927,3.161,-0.175,-0.879,0.645,0.0,1.073,1.468,1.13,3.187,-0.987,-0.801,0.821,-0.992,59.97,3.713,0.186,3.723
912201,PM130EH,Wed Jun 26 00:41:42 CDT 2013,10975.0,7342.0,9093.0,75558.0,1302.0,194.0,4476.0005,24756.0,11317.0,8355.0,10257.0,80991.0,127.8,127.9,128.1,8.39,6.42,9.24,1.009,0.516,0.967,2.492,-0.158,-0.525,0.611,0.0,1.021,0.736,1.144,2.493,-0.988,-0.701,0.845,1.0,60.01,3.713,0.186,3.723
912201,PM130EH,Wed Jun 26 00:46:45 CDT 2013,10975.0,7342.0,9093.0,75558.0,1302.0,194.0,4476.0005,24756.0,11317.0,8355.0,10257.0,80991.0,127.6,127.8,128.2,8.6,6.44,9.18,1.029,0.556,0.955,2.535,-0.172,-0.456,0.609,0.0,1.043,0.719,1.133,2.535,-0.986,-0.773,0.843,1.0,59.99,3.713,0.186,3.723
