Id medidor,Nombre Equipo,Fecha,KiloWattHora Fase 1,KiloWattHora Fase 2,KiloWattHora Fase 3,KiloWattHora Totales,KiloVoltAmpereReactivoHora Fase 1,KiloVoltAmpereReactivoHora Fase 2,KiloVoltAmpereReactivoHora Fase 3,KiloVoltAmpereReactivoHora Totales,KiloVoltAmpereHora Fase 1 ,KiloVoltAmpereHora Fase 2 ,KiloVoltAmpereHora Fase 3 ,KiloVoltAmpereHora Totales,Voltaje Fase 1 ,Voltaje Fase 2 ,Voltaje Fase 3,Corriente Fase 1 ,Corriente Fase 2 ,Corriente Fase 3 ,KiloWatts Fase 1,KiloWatts Fase 2 ,KiloWatts Fase 3 ,KiloWatts Totales,KiloVoltAmpereReactivo Fase 1 ,KiloVoltAmpereReactivo Fase 2 ,KiloVoltAmpereReactivo Fase 3 ,KiloVoltAmperesReactivo Totales,KiloVoltAmpere Fase 1 , KiloVoltAmpere Fase 2 ,KiloVoltAmpere Fase 3 ,KiloVoltAmpere Totales,Factor de Potencia Fase 1 ,Factor de Potencia Fase 2 , Factor de Potencia Fase 3,Factor de Potencia Total,Frecuencia Fase,kW import sliding window demand,kvar impor sliding window demand,kVA sliding window demand
912658,PM130EH,Mon Aug 05 00:01:27 CDT 2013,13996.0,9003.0,6369.0,46333.0,3224.0,2369.0,639.0,7846.0,14710.0,9461.0,6640.0,47736.0,129.8,129.4,129.4,12.23,4.56,6.49,1.478,0.562,0.809,2.847,0.551,0.141,-0.159,0.54,1.578,0.58,0.824,2.897,0.937,0.97,-0.981,0.983,60.06,3.219,0.644,3.288
912658,PM130EH,Mon Aug 05 00:06:27 CDT 2013,13996.0,9003.0,6369.0,46333.0,3224.0,2369.0,639.0,7846.0,14710.0,9461.0,6640.0,47737.0,130.0,129.7,129.8,12.12,4.55,6.37,1.46,0.561,0.795,2.816,0.565,0.145,-0.156,0.559,1.566,0.579,0.81,2.871,0.933,0.968,-0.981,0.981,60.05,3.219,0.644,3.288
912658,PM130EH,Mon Aug 05 00:11:27 CDT 2013,13996.0,9003.0,6369.0,46333.0,3224.0,2369.0,639.0,7846.0,14711.0,9461.0,6640.0,47737.0,130.1,129.6,129.8,15.74,3.09,6.27,1.98,0.371,0.78,3.135,0.492,0.097,-0.159,0.429,2.04,0.384,0.796,3.164,0.97,0.967,-0.98,0.991,60.02,3.075,0.621,3.139
912658,PM130EH,Mon Aug 05 00:16:25 CDT 2013,13997.0,9003.0,6369.0,46333.0,3224.0,2369.0,639.0,7846.0,14711.0,9461.0,6640.0,47737.0,129.8,129.3,129.6,14.04,3.08,6.44,1.786,0.371,0.802,2.961,0.316,0.094,-0.16,0.261,1.814,0.383,0.817,2.972,0.985,0.969,-0.981,0.996,60.01,3.075,0.621,3.139
912658,PM130EH,Mon Aug 05 00:21:25 CDT 2013,13997.0,9003.0,6369.0,46334.0,3224.0,2369.0,639.0,7846.0,14711.0,9461.0,6640.0,47737.0,129.8,129.2,129.4,14.04,3.11,6.58,1.786,0.374,0.82,2.979,0.319,0.091,-0.157,0.253,1.814,0.385,0.835,2.99,0.984,0.971,-0.982,0.996,60.0,3.075,0.621,3.139
912658,PM130EH,Mon Aug 05 00:26:25 CDT 2013,13997.0,9003.0,6369.0,46334.0,3224.0,2369.0,639.0,7846.0,14711.0,9461.0,6640.0,47738.0,129.9,129.5,129.7,8.64,4.17,6.3,1.052,0.476,0.784,2.312,0.344,0.226,-0.153,0.417,1.107,0.527,0.799,2.349,0.951,0.903,-0.981,0.984,60.02,3.036,0.324,3.055
912658,PM130EH,Mon Aug 05 00:31:25 CDT 2013,13997.0,9003.0,6369.0,46334.0,3224.0,2369.0,639.0,7846.0,14711.0,9462.0,6640.0,47738.0,130.2,129.9,130.0,10.59,4.67,7.42,1.3,0.542,0.92,2.761,0.403,0.225,-0.161,0.468,1.361,0.587,0.933,2.801,0.955,0.923,-0.985,0.986,60.05,3.036,0.324,3.055
912658,PM130EH,Mon Aug 05 00:36:27 CDT 2013,13997.0,9003.0,6369.0,46334.0,3224.0,2369.0,639.0,7846.0,14711.0,9462.0,6640.0,47738.0,129.8,129.4,129.7,10.7,4.12,6.51,1.319,0.468,0.811,2.585,0.398,0.229,-0.156,0.474,1.377,0.521,0.826,2.629,0.957,0.898,-0.982,0.984,59.93,3.036,0.324,3.055
912658,PM130EH,Mon Aug 05 00:41:27 CDT 2013,13998.0,9003.0,6369.0,46335.0,3224.0,2369.0,639.0,7847.0,14711.0,9462.0,6640.0,47738.0,130.1,129.7,129.8,10.27,4.14,5.56,1.263,0.469,0.687,2.414,0.394,0.233,-0.149,0.477,1.323,0.524,0.703,2.461,0.955,0.895,-0.977,0.981,60.01,2.497,0.454,2.539
912658,PM130EH,Mon Aug 05 00:46:27 CDT 2013,13998.0,9003.0,6369.0,46335.0,3225.0,2369.0,639.0,7847.0,14711.0,9462.0,6640.0,47738.0,130.1,129.6,129.8,12.7,7.87,8.38,1.555,0.935,1.014,4.486,0.45,0.296,-0.161,0.626,1.618,0.981,1.027,4.53,0.961,0.953,-0.988,0.99,60.02,2.497,0.454,2.539
